company_name,job_title,job_category,location,relevance_score,source_platform,source_url,posted_date,matched_keywords
Abnormal Security,Cloud Security Engineer,SSPM,Remote (US),0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-security-engineer,2025-12-01,"saas governance, saas compliance, ai agent risk, saas posture management, sanctioned it"
Databricks,Security Manager,SSPM,"Boston, MA",0.7,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-manager,2025-11-26,"sanctioned it, shadow it"
ConocoPhillips,AI Agent Security Engineer,SSPM,"Boston, MA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ai-agent-security-engineer,2025-11-29,"sspm, genai security"
Shell,Security Analyst,SSPM,"Seattle, WA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-analyst,2025-11-26,"saas audit, saas posture management, cloud governance, generative ai compliance"
CVS Health,GRC Analyst,SaaS Security,"Seattle, WA",0.8,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=grc-analyst,2025-11-30,"genai security, cloud app security"
8x8,Threat Detection Engineer,SSPM,"San Francisco, CA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=threat-detection-engineer,2025-11-30,"ai security, sanctioned it, sspm, saas governance, llm compliance"
Box,Cloud Posture Engineer,SSPM,"New York, NY",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-posture-engineer,2025-11-30,"sanctioned it, saas security"
Check Point,Lead Security Engineer,SSPM,"Toronto, Canada",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=lead-security-engineer,2025-11-27,"cloud application security, genai security, security posture management"
Kubernetes,GRC Analyst,SaaS Security,"San Francisco, CA",0.8,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=grc-analyst,2025-11-30,"saas governance, saas audit, ai security, ai policy, ai agent risk"
Genesys,AI Agent Security Engineer,SaaS Compliance,"Toronto, Canada",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ai-agent-security-engineer,2025-12-01,"ai compliance, saas audit"
Twilio,Cloud Security Engineer,SSPM,"Austin, TX",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-security-engineer,2025-11-30,"saas security posture, generative ai compliance"
Lockheed Martin,Lead Security Engineer,SSPM,"New York, NY",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=lead-security-engineer,2025-11-29,"sspm, ai governance, ai agent risk"
Cohesity,SOC Analyst,SaaS Compliance,Remote,0.9,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=soc-analyst,2025-11-27,"cloud compliance, ai policy, saas audit, generative ai compliance, cloud application security"
Akamai,GRC Analyst,SaaS Security,Remote (US),0.7,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=grc-analyst,2025-12-02,"cloud governance, llm security"
Wells Fargo,AI Security Engineer,SSPM,"New York, NY",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ai-security-engineer,2025-12-02,"ai policy, sspm, saas risk, ai security"
Vonage,VP of Security,AI Agent Security,"New York, NY",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=vp-of-security,2025-11-26,"saas security, ai security, ai agent risk"
Deloitte,Security Operations Engineer,SSPM,"New York, NY",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-operations-engineer,2025-12-01,"ai security, saas governance, saas security posture"
BeyondTrust,Cloud Security Analyst,SaaS Security,"Boston, MA",0.8,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-security-analyst,2025-11-30,"ai security, cloud application security"
Anthem,Machine Learning Security Engineer,SSPM,"New York, NY",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=machine-learning-security-engineer,2025-11-26,"sanctioned it, autonomous agent security, llm security, saas posture management"
Intercom,SaaS Security Engineer,SSPM,"London, UK",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=saas-security-engineer,2025-11-28,"sspm, saas risk"
UnitedHealth,LLM Security Specialist,AI Compliance,"Seattle, WA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=llm-security-specialist,2025-11-30,"generative ai compliance, shadow it"
Cisco,SaaS Security Architect,AI Compliance,"Boston, MA",0.8,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=saas-security-architect,2025-12-01,"ai governance, llm compliance"
Atlassian,Principal Security Engineer,SSPM,Remote,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=principal-security-engineer,2025-11-29,"saas risk, saas governance"
Area 1,Lead Security Engineer,SSPM,Remote,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=lead-security-engineer,2025-12-03,"cloud app security, ai compliance, sspm, cloud compliance, ai agent security"
ForeScout,AI Security Engineer,SaaS Security,"San Francisco, CA",0.8,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=ai-security-engineer,2025-11-29,"genai security, llm compliance, cloud governance, ai agent risk"
Walmart,Security Engineer,SaaS Compliance,Remote,0.7,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-engineer,2025-11-27,"shadow it, ai compliance"
