company_name,job_title,job_category,location,relevance_score,source_platform,source_url,posted_date,matched_keywords
Qualys,Security Posture Analyst,SSPM,"Toronto, Canada",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-posture-analyst,2025-11-25,"saas security posture, llm compliance, saas governance, sanctioned it"
Tenable,Security Auditor,SaaS Security,"New York, NY",0.9,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-auditor,2025-11-29,"saas risk, saas security, genai security, generative ai compliance"
A10 Networks,Security Engineer,SaaS Security,"San Francisco, CA",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-engineer,2025-11-28,"ai policy, saas security"
Carbon Black,Cloud Security Engineer,SSPM,Hybrid - Bay Area,0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-security-engineer,2025-11-29,"ai governance, saas security posture, ai security"
Goldman Sachs,SaaS Security Architect,SaaS Security,"London, UK",0.8,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=saas-security-architect,2025-11-30,"ai agent security, cloud governance"
UiPath,Security Compliance Manager,SSPM,"Denver, CO",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-compliance-manager,2025-11-29,"saas security, sspm"
Cloudflare,Lead Security Engineer,AI Agent Security,Remote,0.9,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=lead-security-engineer,2025-12-01,"autonomous agent security, llm security, sspm, ai agent security"
Area 1,SOC Analyst,AI Compliance,Hybrid - Bay Area,0.7,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=soc-analyst,2025-11-25,"sanctioned it, ai security, generative ai compliance"
Twilio,Compliance Engineer,SSPM,"Denver, CO",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=compliance-engineer,2025-11-29,"cloud compliance, cloud application security"
Salesforce,Security Analyst,SaaS Compliance,"London, UK",0.8,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-analyst,2025-12-01,"ai policy, cloud compliance"
MongoDB,SSPM Product Manager,AI Compliance,"Boston, MA",0.7,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=sspm-product-manager,2025-11-30,"genai security, ai policy"
Northrop Grumman,Security Operations Engineer,SSPM,Remote (US),0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-operations-engineer,2025-11-28,"security posture management, saas governance"
Red Hat,Director of Security,AI Agent Security,"New York, NY",0.7,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=director-of-security,2025-11-30,"ai governance, autonomous agent security, cloud governance"
AT&T,Machine Learning Security Engineer,SaaS Security,"London, UK",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=machine-learning-security-engineer,2025-11-26,"saas security, shadow it, saas compliance, saas risk, genai security"
Darktrace,SaaS Security Architect,AI Compliance,Remote,0.8,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=saas-security-architect,2025-11-25,"shadow it, ai compliance, llm security, ai agent risk"
Auth0,SSPM Engineer,SaaS Compliance,Remote (US),0.9,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=sspm-engineer,2025-12-01,"cloud compliance, llm security, cloud governance, generative ai compliance, llm compliance"
Aqua Security,Cloud Security Architect,SSPM,"New York, NY",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=cloud-security-architect,2025-12-02,"autonomous agent security, saas governance"
Stripe,Security Manager,SSPM,"Austin, TX",0.85,Greenhouse,https://boards.greenhouse.io/embed/job_board?gh_src=&q=security-manager,2025-11-26,"cloud app security, cloud governance, shadow it"
